PortSummaryTable [port_name=DBH, ticker=ABBANK, share_quantity=64512.0, cost_price=905.78, source_date=2010-06-12, portfoli_value=5.84336967E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ACI, share_quantity=250.0, cost_price=436.0, source_date=2010-06-12, portfoli_value=109000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=AFTABAUTO, share_quantity=1250.0, cost_price=215.85, source_date=2010-06-12, portfoli_value=269811.81, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ALARABANK, share_quantity=-6900.0, cost_price=151.72, source_date=2010-06-12, portfoli_value=-1046902.5, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=APEXFOOT, share_quantity=1040.0, cost_price=2600.77, source_date=2010-06-12, portfoli_value=2704800.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=APEXTANRY, share_quantity=540.0, cost_price=1480.44, source_date=2010-06-12, portfoli_value=799437.55, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ARAMIT, share_quantity=300.0, cost_price=445.33, source_date=2010-06-12, portfoli_value=133600.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ASIAINS, share_quantity=1000.0, cost_price=800.0, source_date=2010-06-12, portfoli_value=800000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ASIAPACINS, share_quantity=850.0, cost_price=687.62, source_date=2010-06-12, portfoli_value=584475.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ATLASBANG, share_quantity=13850.0, cost_price=442.93, source_date=2010-06-12, portfoli_value=6134637.29, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=BANKASIA, share_quantity=30940.0, cost_price=389.23, source_date=2010-06-12, portfoli_value=1.204273801E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=BATASHOE, share_quantity=7400.0, cost_price=591.95, source_date=2010-06-12, portfoli_value=4380432.0, current_price=0.0]

